customerID,Contract,tenure,MonthlyCharges,Churn,rule_risk_score,ChurnProbability,RiskTier
7590-VHVEG,Month-to-month,1,29.85,No,6,0.719,Critical
5575-GNVDE,One year,34,56.95,No,1,0.158,Low
3668-QPYBK,Month-to-month,2,53.85,Yes,6,0.611,High
7795-CFOCW,One year,45,42.3,No,0,0.062,Low
9237-HQITU,Month-to-month,2,70.7,Yes,8,0.83,Critical
9305-CDSKC,Month-to-month,8,99.65,Yes,8,0.901,Critical
1452-KIOVK,Month-to-month,22,89.1,No,6,0.752,Critical
6713-OKOMC,Month-to-month,10,29.75,No,6,0.494,High
7892-POOKP,Month-to-month,28,104.8,Yes,5,0.795,Critical
6388-TABGU,One year,62,56.15,No,1,0.039,Low
9763-GRSKD,Month-to-month,13,49.95,No,4,0.495,High
7469-LKBCI,Two year,16,18.95,No,0,0.06,Low
8091-TTVAX,One year,58,100.35,No,3,0.419,High
0280-XJGEX,Month-to-month,49,103.7,Yes,6,0.712,Critical
5129-JLPIS,Month-to-month,25,105.5,No,5,0.667,High
3655-SNQYZ,Two year,69,113.25,No,2,0.074,Low
8191-XWSZG,One year,52,20.65,No,0,0.039,Low
9959-WOFKT,Two year,71,106.7,No,3,0.105,Low
4190-MFLUW,Month-to-month,10,55.2,Yes,5,0.383,Medium
4183-MYFRB,Month-to-month,21,90.05,No,6,0.756,Critical
8779-QRDMV,Month-to-month,1,39.65,Yes,6,0.826,Critical
1680-VDCWW,One year,12,19.8,No,2,0.137,Low
1066-JKSGK,Month-to-month,1,20.15,Yes,5,0.42,High
3638-WEABW,Two year,58,59.9,No,0,0.057,Low
6322-HRPFA,Month-to-month,49,59.6,No,3,0.094,Low
6865-JZNKO,Month-to-month,30,55.3,No,4,0.326,Medium
6467-CHFZW,Month-to-month,47,99.35,Yes,6,0.712,Critical
8665-UTDHZ,Month-to-month,1,30.2,Yes,6,0.576,High
5248-YGIJN,Two year,72,90.25,No,1,0.056,Low
8773-HHUOZ,Month-to-month,17,64.7,Yes,4,0.703,Critical
3841-NFECX,Two year,71,96.35,No,2,0.082,Low
4929-XIHVW,Month-to-month,2,95.5,No,8,0.903,Critical
6827-IEAUQ,One year,27,66.15,No,0,0.098,Low
7310-EGVHZ,Month-to-month,1,20.2,No,5,0.364,Medium
3413-BMNZE,Month-to-month,1,45.25,No,6,0.669,High
6234-RAAPL,Two year,72,99.9,No,2,0.045,Low
6047-YHPVI,Month-to-month,5,69.7,Yes,7,0.814,Critical
6572-ADKRS,Month-to-month,46,74.8,No,6,0.539,High
5380-WJKOV,Month-to-month,34,106.35,Yes,6,0.816,Critical
8168-UQWWF,Month-to-month,11,97.85,Yes,8,0.874,Critical
8865-TNMNX,One year,10,49.55,No,3,0.3,Medium
9489-DEDVP,Two year,70,69.2,No,1,0.042,Low
9867-JCZSP,One year,17,20.75,No,0,0.116,Low
4671-VJLCL,Two year,63,79.85,No,1,0.047,Low
4080-IIARD,Month-to-month,13,76.2,No,4,0.561,High
3714-NTNFO,Month-to-month,49,84.5,No,6,0.688,High
5948-UJZLF,Month-to-month,2,49.25,No,6,0.623,High
7760-OYPDY,Month-to-month,2,80.65,Yes,8,0.863,Critical
7639-LIAYI,Two year,52,79.75,No,1,0.103,Low
2954-PIBKO,Two year,69,64.15,No,0,0.023,Low
8012-SOUDQ,Month-to-month,43,90.25,No,6,0.754,Critical
9420-LOJKX,Month-to-month,15,99.1,Yes,6,0.745,Critical
6575-SUVOI,Month-to-month,25,69.5,No,3,0.534,High
7495-OOKFY,Month-to-month,8,80.65,Yes,8,0.847,Critical
4667-QONEA,One year,60,74.85,No,1,0.079,Low
1658-BYGOY,Month-to-month,18,95.45,Yes,6,0.906,Critical
8769-KKTPH,One year,63,99.65,No,3,0.331,Medium
5067-XJQFU,One year,66,108.45,No,2,0.365,Medium
3957-SQXML,Two year,34,24.95,No,0,0.033,Low
5954-BDFSG,Two year,72,107.5,No,2,0.211,Medium
0434-CSFON,Month-to-month,47,100.5,No,6,0.779,Critical
1215-FIGMP,Month-to-month,60,89.9,No,6,0.577,High
0526-SXDJP,Two year,72,42.1,No,1,0.014,Low
0557-ASKVU,One year,18,54.4,No,0,0.234,Medium
5698-BQJOH,Month-to-month,9,94.4,Yes,8,0.86,Critical
5122-CYFXA,Month-to-month,3,75.3,No,6,0.719,Critical
8627-ZYGSZ,One year,47,78.9,No,3,0.398,Medium
3410-YOQBQ,Two year,31,79.2,No,1,0.13,Low
3170-NMYVV,Two year,50,20.15,No,0,0.011,Low
7410-OIEDU,Month-to-month,10,79.85,No,8,0.721,Critical
2273-QCKXA,Month-to-month,1,49.05,No,5,0.57,High
0731-EBJQB,One year,52,20.4,No,0,0.042,Low
1891-QRQSA,Two year,64,111.6,No,2,0.158,Low
8028-PNXHQ,Two year,62,24.25,No,0,0.015,Low
5630-AHZIL,Month-to-month,3,64.5,No,5,0.487,High
2673-CXQEU,One year,56,110.5,No,3,0.387,Medium
6416-JNVRK,One year,46,55.65,No,1,0.186,Low
5590-ZSKRV,Month-to-month,8,54.65,No,6,0.401,High
0191-ZHSKZ,Month-to-month,30,74.75,No,5,0.575,High
3887-PBQAO,One year,45,25.9,No,0,0.072,Low
5919-TMRGD,Month-to-month,1,79.35,Yes,8,0.83,Critical
