customerID,Contract,tenure,MonthlyCharges,Churn,rule_risk_score,ChurnProbability,RiskTier,AnnualValueAtRisk,RecommendedAction
5150-ITWWB,Month-to-month,3,94.85,No,8,0.933,Critical,1138.1999999999998,Call this week: offer 1-year contract discount
2545-EBUPK,Month-to-month,2,84.05,No,8,0.914,Critical,1008.5999999999999,Call this week: offer 1-year contract discount
3320-VEOYC,Month-to-month,14,95.6,No,6,0.913,Critical,1147.1999999999998,Call this week: offer 1-year contract discount
8161-QYMTT,Month-to-month,7,94.1,No,8,0.908,Critical,1129.1999999999998,Call this week: offer 1-year contract discount
6630-UJZMY,Month-to-month,4,83.25,No,8,0.906,Critical,999.0,Call this week: offer 1-year contract discount
7225-CBZPL,Month-to-month,17,94.8,No,6,0.905,Critical,1137.6,Call this week: offer 1-year contract discount
6350-XFYGW,Month-to-month,4,94.75,No,8,0.905,Critical,1137.0,Call this week: offer 1-year contract discount
4929-XIHVW,Month-to-month,2,95.5,No,8,0.903,Critical,1146.0,Call this week: offer 1-year contract discount
5935-FCCNB,Month-to-month,17,94.2,No,6,0.903,Critical,1130.4,Call this week: offer 1-year contract discount
4847-TAJYI,Month-to-month,6,89.35,No,8,0.902,Critical,1072.1999999999998,Call this week: offer 1-year contract discount
7668-XCFYV,Month-to-month,17,92.55,No,6,0.9,Critical,1110.6,Call this week: offer 1-year contract discount
3452-GWUIN,Month-to-month,19,94.95,No,6,0.899,Critical,1139.4,Call this week: offer 1-year contract discount
0187-QSXOE,Month-to-month,7,89.0,No,8,0.899,Critical,1068.0,Call this week: offer 1-year contract discount
4115-NZRKS,Month-to-month,7,89.15,No,8,0.898,Critical,1069.8000000000002,Call this week: offer 1-year contract discount
4912-PIGUY,Month-to-month,1,84.6,No,8,0.896,Critical,1015.1999999999999,Call this week: offer 1-year contract discount
3295-YVUSR,Month-to-month,2,72.6,No,8,0.895,Critical,871.1999999999999,Call this week: offer 1-year contract discount
3318-NMQXL,Month-to-month,3,92.0,No,8,0.894,Critical,1104.0,Call this week: offer 1-year contract discount
7577-SWIFR,Month-to-month,1,89.25,No,8,0.894,Critical,1071.0,Call this week: offer 1-year contract discount
6969-MVBAI,Month-to-month,9,90.1,No,8,0.894,Critical,1081.1999999999998,Call this week: offer 1-year contract discount
4927-WWOOZ,Month-to-month,2,91.45,No,8,0.893,Critical,1097.4,Call this week: offer 1-year contract discount
3489-HHPFY,Month-to-month,2,84.05,No,8,0.891,Critical,1008.5999999999999,Call this week: offer 1-year contract discount
0916-QOFDP,Month-to-month,14,95.8,No,6,0.89,Critical,1149.6,Call this week: offer 1-year contract discount
0021-IKXGC,Month-to-month,1,72.1,No,8,0.888,Critical,865.1999999999999,Call this week: offer 1-year contract discount
4132-KALRO,Month-to-month,4,100.85,No,7,0.886,Critical,1210.1999999999998,Call this week: offer 1-year contract discount
9290-SHCMB,Month-to-month,13,96.85,No,6,0.885,Critical,1162.1999999999998,Call this week: offer 1-year contract discount
2754-SDJRD,Month-to-month,8,100.15,No,7,0.884,Critical,1201.8000000000002,Call this week: offer 1-year contract discount
8739-XNIKG,Month-to-month,5,84.0,No,8,0.884,Critical,1008.0,Call this week: offer 1-year contract discount
1197-BVMVG,Month-to-month,4,74.45,No,8,0.884,Critical,893.4000000000001,Call this week: offer 1-year contract discount
9402-ORRAH,Month-to-month,15,91.5,No,6,0.883,Critical,1098.0,Call this week: offer 1-year contract discount
4445-ZJNMU,Month-to-month,9,99.3,No,8,0.882,Critical,1191.6,Call this week: offer 1-year contract discount
9279-CJEOJ,Month-to-month,21,95.4,No,6,0.882,Critical,1144.8000000000002,Call this week: offer 1-year contract discount
7402-EYFXX,Month-to-month,26,93.6,No,6,0.881,Critical,1123.1999999999998,Call this week: offer 1-year contract discount
5956-YHHRX,Month-to-month,21,104.35,No,6,0.881,Critical,1252.1999999999998,Call this week: offer 1-year contract discount
3096-GKWEB,Month-to-month,18,94.75,No,6,0.881,Critical,1137.0,Call this week: offer 1-year contract discount
7398-SKNQZ,Month-to-month,3,94.9,No,8,0.878,Critical,1138.8000000000002,Call this week: offer 1-year contract discount
2077-MPJQO,Month-to-month,7,75.4,No,8,0.878,Critical,904.8000000000001,Call this week: offer 1-year contract discount
2215-ZAFGX,Month-to-month,9,85.5,No,8,0.878,Critical,1026.0,Call this week: offer 1-year contract discount
9957-YODKZ,Month-to-month,6,80.8,No,8,0.877,Critical,969.5999999999999,Call this week: offer 1-year contract discount
4633-MKHYU,Month-to-month,9,88.4,No,8,0.876,Critical,1060.8000000000002,Call this week: offer 1-year contract discount
9334-GWGOW,Month-to-month,7,74.85,No,8,0.876,Critical,898.1999999999999,Call this week: offer 1-year contract discount
6229-LSCKB,Month-to-month,6,79.7,No,8,0.876,Critical,956.4000000000001,Call this week: offer 1-year contract discount
6856-RAURS,Month-to-month,2,74.9,No,8,0.875,Critical,898.8000000000001,Call this week: offer 1-year contract discount
5760-IFJOZ,Month-to-month,3,107.95,No,8,0.874,Critical,1295.4,Call this week: offer 1-year contract discount
5382-SOYZL,Month-to-month,22,95.1,No,6,0.873,Critical,1141.1999999999998,Call this week: offer 1-year contract discount
1452-VOQCH,Month-to-month,1,75.1,No,8,0.872,Critical,901.1999999999999,Call this week: offer 1-year contract discount
9094-AZPHK,Month-to-month,15,100.15,No,6,0.872,Critical,1201.8000000000002,Call this week: offer 1-year contract discount
8309-IEYJD,Month-to-month,1,70.6,No,8,0.872,Critical,847.1999999999999,Call this week: offer 1-year contract discount
9121-PHQSR,Month-to-month,16,85.05,No,6,0.872,Critical,1020.5999999999999,Call this week: offer 1-year contract discount
7858-GTZSP,Month-to-month,12,86.55,No,8,0.871,Critical,1038.6,Call this week: offer 1-year contract discount
4060-LDNLU,Month-to-month,7,96.2,No,8,0.871,Critical,1154.4,Call this week: offer 1-year contract discount
9919-KNPOO,Month-to-month,21,94.3,No,6,0.87,Critical,1131.6,Call this week: offer 1-year contract discount
5995-SNNEW,Month-to-month,23,104.45,No,6,0.87,Critical,1253.4,Call this week: offer 1-year contract discount
8622-ZLFKO,Month-to-month,6,90.75,No,8,0.869,Critical,1089.0,Call this week: offer 1-year contract discount
6860-YRJZP,Month-to-month,9,74.05,No,8,0.869,Critical,888.5999999999999,Call this week: offer 1-year contract discount
1941-HOSAM,Month-to-month,1,90.1,No,8,0.869,Critical,1081.1999999999998,Call this week: offer 1-year contract discount
2876-GZYZC,Month-to-month,13,85.95,No,6,0.868,Critical,1031.4,Call this week: offer 1-year contract discount
7439-DKZTW,Month-to-month,1,80.55,No,8,0.868,Critical,966.5999999999999,Call this week: offer 1-year contract discount
6986-IXNDM,Month-to-month,14,92.9,No,6,0.867,Critical,1114.8000000000002,Call this week: offer 1-year contract discount
2688-BHGOG,Month-to-month,9,79.55,No,8,0.867,Critical,954.5999999999999,Call this week: offer 1-year contract discount
8875-AKBYH,Month-to-month,20,84.35,No,6,0.867,Critical,1012.1999999999999,Call this week: offer 1-year contract discount
3462-BJQQA,Month-to-month,6,89.75,No,8,0.867,Critical,1077.0,Call this week: offer 1-year contract discount
2985-FMWYF,Month-to-month,23,93.5,No,6,0.867,Critical,1122.0,Call this week: offer 1-year contract discount
3292-PBZEJ,Month-to-month,11,111.4,No,7,0.866,Critical,1336.8000000000002,Call this week: offer 1-year contract discount
8087-LGYHQ,Month-to-month,9,94.05,No,8,0.866,Critical,1128.6,Call this week: offer 1-year contract discount
2123-AGEEN,Month-to-month,7,84.35,No,8,0.865,Critical,1012.1999999999999,Call this week: offer 1-year contract discount
4395-PZMSN,Month-to-month,5,85.55,No,8,0.865,Critical,1026.6,Call this week: offer 1-year contract discount
4273-MBHYA,Month-to-month,1,89.35,No,8,0.865,Critical,1072.1999999999998,Call this week: offer 1-year contract discount
4234-XTNEA,Month-to-month,2,79.95,No,8,0.864,Critical,959.4000000000001,Call this week: offer 1-year contract discount
7994-UYIVZ,Month-to-month,8,85.65,No,8,0.864,Critical,1027.8000000000002,Call this week: offer 1-year contract discount
3878-AVSOQ,Month-to-month,1,71.25,No,8,0.864,Critical,855.0,Call this week: offer 1-year contract discount
9360-OMDZZ,Month-to-month,24,94.1,No,6,0.864,Critical,1129.1999999999998,Call this week: offer 1-year contract discount
2789-HQBOU,Month-to-month,3,80.35,No,8,0.863,Critical,964.1999999999999,Call this week: offer 1-year contract discount
9603-OAIHC,Month-to-month,1,70.05,No,8,0.863,Critical,840.5999999999999,Call this week: offer 1-year contract discount
4090-KPJIP,Month-to-month,3,74.95,No,8,0.863,Critical,899.4000000000001,Call this week: offer 1-year contract discount
9696-RMYBA,Month-to-month,5,80.1,No,8,0.863,Critical,961.1999999999999,Call this week: offer 1-year contract discount
3420-ZDBMA,Month-to-month,5,71.45,No,8,0.862,Critical,857.4000000000001,Call this week: offer 1-year contract discount
7392-YYPYJ,Month-to-month,22,100.65,No,6,0.862,Critical,1207.8000000000002,Call this week: offer 1-year contract discount
9605-WGJVW,Month-to-month,1,70.2,No,8,0.862,Critical,842.4000000000001,Call this week: offer 1-year contract discount
1173-XZPYF,Month-to-month,11,89.2,No,8,0.862,Critical,1070.4,Call this week: offer 1-year contract discount
3629-ZNKXA,Month-to-month,17,101.8,No,6,0.861,Critical,1221.6,Call this week: offer 1-year contract discount
4749-OJKQU,Month-to-month,4,75.65,No,8,0.861,Critical,907.8000000000001,Call this week: offer 1-year contract discount
5348-CAGXB,Month-to-month,12,89.55,No,8,0.86,Critical,1074.6,Call this week: offer 1-year contract discount
1200-TUZHR,Month-to-month,8,85.2,No,8,0.86,Critical,1022.4000000000001,Call this week: offer 1-year contract discount
2371-JQHZZ,Month-to-month,24,93.0,No,6,0.86,Critical,1116.0,Call this week: offer 1-year contract discount
8242-SOQUO,Month-to-month,5,84.7,No,8,0.859,Critical,1016.4000000000001,Call this week: offer 1-year contract discount
6507-ZJSUR,Month-to-month,23,90.45,No,6,0.859,Critical,1085.4,Call this week: offer 1-year contract discount
2254-DLXRI,Month-to-month,1,79.15,No,8,0.859,Critical,949.8000000000001,Call this week: offer 1-year contract discount
6357-JJPQT,Month-to-month,3,80.5,No,8,0.859,Critical,966.0,Call this week: offer 1-year contract discount
0365-BZUWY,Month-to-month,17,102.55,No,6,0.859,Critical,1230.6,Call this week: offer 1-year contract discount
